OBJECTID,src_boro_c,nbr_boro_c,LENGTH,NODE_COUNT
58,1001401,1001402,0.003502061899954,0
59,1001401,1001600,0.002559237906718,0
60,1001401,1001800,0.000831068126657,0
61,1001402,1001200,0.003525741306454,0
62,1001402,1001401,0.003502061899954,0
63,1001402,1001800,0.003538028916093,0
64,1001402,1002201,0.001754999213710,0
65,1001402,1003001,0.001753609763936,0
66,1001501,1001300,0.000684704345125,0
67,1001501,1001502,0.008623734083773,0
68,1001501,1002100,0.000000000000000,1
69,1001501,1002500,0.002902357659831,0
70,1001501,1002900,0.005418286310870,0
71,1001501,1003100,0.002559685448333,0
72,1001501,3000100,0.000000000000000,1
73,1001501,3002100,0.000493048030786,0
74,1001502,1000700,0.007569415361567,0
75,1001502,1001300,0.002278558225672,0
76,1001502,1001501,0.008623734083773,0
77,1001502,3000100,0.002613385587136,0
78,1001600,1000600,0.002371129382040,0
79,1001600,1000800,0.004953534445353,0
80,1001600,1001401,0.002559237906718,0
81,1001600,1001800,0.005917750716675,0
82,1001600,1002700,0.000000000000000,1
83,1001600,1002900,0.002604301531912,0
84,1001600,1004100,0.002554239901783,0
85,1001800,1001401,0.000831068126657,0
86,1001800,1001402,0.003538028916093,0
87,1001800,1001600,0.005917750716675,0
88,1001800,1003001,0.003238981202872,0
89,1001800,1003601,0.003837768247582,0
90,1001800,1004100,0.002678622732599,0
91,1001800,1004300,0.000745783067508,0
92,1002000,1001002,0.005408565964820,0
93,1002000,1002201,0.000000000000000,1
94,1002000,1002202,0.000905844160508,0
95,1002000,1002400,0.004262815035433,0
96,1002000,1002601,0.002261580041629,0
97,1002000,1002602,0.000000000000000,1
98,1002100,1001300,0.005738046947936,0
99,1002100,1001501,0.000000000000000,1
100,1002100,1003100,0.004260436952073,0
101,1002100,1003300,0.003644718920142,0
102,1002100,1003900,0.004514368119172,0
103,1002100,1031703,0.003584230413508,0
104,1002201,1001002,0.003928112578642,0
105,1002201,1001200,0.004861967974465,0
106,1002201,1001402,0.001754999213710,0
107,1002201,1002000,0.000000000000000,1
108,1002201,1002202,0.005299952875252,0
109,1002201,1003001,0.002696583000768,0
110,1002201,1003002,0.000000000000000,1
111,1002202,1001002,0.000000000000000,1
112,1002202,1002000,0.000905844160508,0
113,1002202,1002201,0.005299952875252,0
114,1002202,1002601,0.005137444888223,0
115,1002202,1003001,0.000000000000000,1
116,1002202,1003002,0.001475044795339,0
117,1002202,1003200,0.000000000000000,1
118,1002400,1002000,0.004262815035433,0
119,1002400,1002601,0.000000000000000,1
120,1002400,1002602,0.002208789756183,0
121,1002400,1002800,0.003893101854010,0
122,1002400,1004400,0.001856309258445,0
123,1002400,3055500,0.000407148726736,0
124,1002500,1000800,0.003441923222120,0
125,1002500,1001501,0.002902357659831,0
126,1002500,1002700,0.003904386730444,0
127,1002500,1002900,0.001567420399090,0
128,1002601,1002000,0.002261580041629,0
129,1002601,1002202,0.005137444888223,0
130,1002601,1002400,0.000000000000000,1
131,1002601,1002602,0.005141526273912,0
132,1002601,1003002,0.000000000000000,1
133,1002601,1003200,0.002255898504286,0
134,1002602,1002000,0.000000000000000,1
135,1002602,1002400,0.002208789756183,0
136,1002602,1002601,0.005141526273912,0
137,1002602,1002800,0.005143201863243,0
138,1002602,1003200,0.002210612372217,0
139,1002700,1000800,0.002075363687552,0
140,1002700,1001600,0.000000000000000,1
141,1002700,1002500,0.003904386730444,0
142,1002700,1002900,0.005751728881102,0
143,1002800,1002400,0.003893101854010,0
144,1002800,1002602,0.005143201863243,0
145,1002800,1003200,0.000724307104666,0
146,1002800,1003400,0.003182236019957,0
147,1002800,1004400,0.005137153326147,0
148,1002900,1000800,0.000000000000000,1
149,1002900,1001501,0.005418286310870,0
150,1002900,1001600,0.002604301531912,0
151,1002900,1002500,0.001567420399090,0
152,1002900,1002700,0.005751728881102,0
153,1002900,1003100,0.008847804352324,0
154,1002900,1004100,0.004322643942445,0
155,1002900,1004500,0.000000000000000,1
156,1003001,1001402,0.001753609763936,0
157,1003001,1001800,0.003238981202872,0
158,1003001,1002201,0.002696583000768,0
159,1003001,1002202,0.000000000000000,1
160,1003001,1003002,0.005032305541152,0
161,1003001,1003601,0.002763245881705,0
162,1003001,1003602,0.000000000000000,1
163,1003002,1002201,0.000000000000000,1
164,1003002,1002202,0.001475044795339,0
165,1003002,1002601,0.000000000000000,1
166,1003002,1003001,0.005032305541152,0
167,1003002,1003200,0.004910411131114,0
168,1003002,1003601,0.000000000000000,1
169,1003002,1003602,0.002002221136473,0
170,1003002,1003800,0.000000000000000,1
171,1003100,1001300,0.000000000000000,1
172,1003100,1001501,0.002559685448333,0
173,1003100,1002100,0.004260436952073,0
174,1003100,1002900,0.008847804352324,0
175,1003100,1003300,0.006190070773239,0
176,1003100,1004100,0.000000000000000,1
177,1003100,1004500,0.002371147923573,0
178,1003100,1004700,0.000000000000000,1
179,1003200,1002202,0.000000000000000,1
180,1003200,1002601,0.002255898504286,0
181,1003200,1002602,0.002210612372217,0
182,1003200,1002800,0.000724307104666,0
183,1003200,1003002,0.004910411131114,0
184,1003200,1003400,0.005629472350333,0
185,1003200,1003602,0.000000000000000,1
186,1003200,1003800,0.004463066247070,0
187,1003200,1004000,0.000000000000000,1
188,1003300,1002100,0.003644718920142,0
189,1003300,1003100,0.006190070773239,0
190,1003300,1003700,0.003207961845001,0
191,1003300,1003900,0.007623881008929,0
192,1003300,1004500,0.000000000000000,1
193,1003300,1004700,0.004199923665129,0
194,1003400,1002800,0.003182236019957,0
195,1003400,1003200,0.005629472350333,0
196,1003400,1003800,0.000000000000000,1
197,1003400,1004000,0.003919990951093,0
198,1003400,1004400,0.004918784627593,0
199,1003400,1004800,0.000000000000000,1
200,1003601,1001800,0.003837768247582,0
201,1003601,1003001,0.002763245881705,0
202,1003601,1003002,0.000000000000000,1
203,1003601,1003602,0.004143272317047,0
204,1003601,1004300,0.002668327368372,0
205,1003601,1005502,0.000000000000000,1
206,1003602,1003001,0.000000000000000,1
207,1003602,1003002,0.002002221136473,0
208,1003602,1003200,0.000000000000000,1
209,1003602,1003601,0.004143272317047,0
210,1003602,1003800,0.004671227460764,0
211,1003602,1004300,0.000000000000000,1
212,1003602,1005502,0.002396207713587,0
213,1003700,1003300,0.003207961845001,0
214,1003700,1003900,0.005952792355783,0
215,1003700,1004700,0.003967973502271,0
216,1003700,1004900,0.003237092765250,0
217,1003700,1006500,0.000744713016913,0
218,1003700,1006700,0.004292486596197,0
219,1003700,1006900,0.005161254161652,0
220,1003800,1003002,0.000000000000000,1
221,1003800,1003200,0.004463066247070,0
222,1003800,1003400,0.000000000000000,1
223,1003800,1003602,0.004671227460764,0
224,1003800,1004000,0.005004263706836,0
225,1003800,1004200,0.002975379101535,0
226,1003800,1005502,0.000743214002828,0
227,1003800,1005700,0.000711583866018,0
228,1003900,1002100,0.004514368119172,0
229,1003900,1003300,0.007623881008929,0
230,1003900,1003700,0.005952792355783,0
231,1003900,1031703,0.002523634068386,0
232,1004000,1003200,0.000000000000000,1
233,1004000,1003400,0.003919990951093,0
234,1004000,1003800,0.005004263706836,0
235,1004000,1004200,0.003910584531575,0
236,1004000,1004400,0.000000000000000,1
237,1004000,1004800,0.005015456230421,0
238,1004000,1005000,0.000000000000000,1
239,1004100,1001600,0.002554239901783,0
240,1004100,1001800,0.002678622732599,0
241,1004100,1002900,0.004322643942445,0
242,1004100,1003100,0.000000000000000,1
243,1004100,1004300,0.003595240593219,0
244,1004100,1004500,0.005198780987604,0
245,1004200,1003800,0.002975379101535,0
246,1004200,1004000,0.003910584531575,0
247,1004200,1004800,0.000000000000000,1
248,1004200,1005000,0.002952533778741,0
249,1004200,1005200,0.000000000000000,1
250,1004200,1005700,0.003724521341501,0
251,1004200,1006100,0.003207164939873,0
252,1004300,1001800,0.000745783067508,0
253,1004300,1003601,0.002668327368372,0
254,1004300,1003602,0.000000000000000,1
255,1004300,1004100,0.003595240593219,0
256,1004300,1004500,0.001836354636147,0
257,1004300,1004900,0.003157867893385,0
258,1004300,1005501,0.000000000000000,1
259,1004300,1005502,0.004370125320878,0
260,1004400,1002400,0.001856309258445,0
261,1004400,1002800,0.005137153326147,0
262,1004400,1003400,0.004918784627593,0
263,1004400,1004000,0.000000000000000,1
264,1004400,1004800,0.003869017256131,0
265,1004400,1006000,0.006697349190866,0
266,1004400,1006400,0.000710871330931,0
267,1004400,3055700,0.000129286701100,0
268,1004500,1002900,0.000000000000000,1
269,1004500,1003100,0.002371147923573,0
270,1004500,1003300,0.000000000000000,1
271,1004500,1004100,0.005198780987604,0
272,1004500,1004300,0.001836354636147,0
273,1004500,1004700,0.003139469800132,0
274,1004500,1004900,0.001611478907576,0
275,1004700,1003100,0.000000000000000,1
276,1004700,1003300,0.004199923665129,0
277,1004700,1003700,0.003967973502271,0
278,1004700,1004500,0.003139469800132,0
279,1004700,1004900,0.007413518083419,0
280,1004800,1003400,0.000000000000000,1
281,1004800,1004000,0.005015456230421,0
282,1004800,1004200,0.000000000000000,1
283,1004800,1004400,0.003869017256131,0
284,1004800,1005000,0.003816038755628,0
285,1004800,1006400,0.005130582053100,0
286,1004900,1003700,0.003237092765250,0
287,1004900,1004300,0.003157867893385,0
288,1004900,1004500,0.001611478907576,0
289,1004900,1004700,0.007413518083419,0
290,1004900,1005501,0.003485483423986,0
291,1004900,1005502,0.000000000000000,1
292,1004900,1006500,0.002489635781897,0
293,1005000,1004000,0.000000000000000,1
294,1005000,1004200,0.002952533778741,0
295,1005000,1004800,0.003816038755628,0
296,1005000,1005200,0.005340574734847,0
297,1005000,1005600,0.000000000000000,1
298,1005000,1006100,0.000000000000000,1
299,1005000,1006400,0.001446209797550,0
300,1005000,1006800,0.003493934109220,0
301,1005200,1004200,0.000000000000000,1
302,1005200,1005000,0.005340574734847,0
303,1005200,1005400,0.005265727454899,0
304,1005200,1005600,0.003491512474972,0
305,1005200,1005800,0.000000000000000,1
306,1005200,1006100,0.004033336421974,0
307,1005200,1006300,0.000000000000000,1
308,1005200,1006800,0.000000000000000,1
309,1005400,1005200,0.005265727454899,0
310,1005400,1005600,0.000000000000000,1
311,1005400,1005800,0.003491662216704,0
312,1005400,1006100,0.000000000000000,1
313,1005400,1006300,0.003496842211571,0
314,1005400,1007100,0.000000000000000,1
315,1005400,1008100,0.003092758196144,0
316,1005400,1008700,0.002180674534617,0
317,1005501,1004300,0.000000000000000,1
318,1005501,1004900,0.003485483423986,0
319,1005501,1005502,0.003902419608794,0
320,1005501,1005700,0.000901068062196,0
321,1005501,1005900,0.001683217964754,0
322,1005501,1006500,0.004825292481806,0
323,1005502,1003601,0.000000000000000,1
324,1005502,1003602,0.002396207713587,0
325,1005502,1003800,0.000743214002828,0
326,1005502,1004300,0.004370125320878,0
327,1005502,1004900,0.000000000000000,1
328,1005502,1005501,0.003902419608794,0
329,1005502,1005700,0.003005223073403,0
330,1005600,1005000,0.000000000000000,1
331,1005600,1005200,0.003491512474972,0
332,1005600,1005400,0.000000000000000,1
333,1005600,1005800,0.005468558011038,0
334,1005600,1006800,0.005473860095727,0
335,1005600,1007200,0.000000000000000,1
336,1005600,1007400,0.003497139312495,0
337,1005600,1007600,0.000000000000000,1
338,1005700,1003800,0.000711583866018,0
339,1005700,1004200,0.003724521341501,0
340,1005700,1005501,0.000901068062196,0
341,1005700,1005502,0.003005223073403,0
342,1005700,1005900,0.005200649245681,0
343,1005700,1006100,0.001160275860278,0
