boro_ct2010,Date,Time,Type
1011300,12/30/2017,18:30:00,PropertyCrime
4052400,12/11/2017,13:00:00,PropertyCrime
1023600,3/21/2017,0:01:00,PropertyCrime
3025100,11/10/2017,23:53:00,PropertyCrime
2007700,10/18/2017,11:30:00,PropertyCrime
1010900,2/15/2017,10:00:00,PropertyCrime
1013700,6/23/2017,0:01:00,PropertyCrime
4028300,12/5/2017,12:00:00,PropertyCrime
3115800,12/29/2017,14:30:00,PropertyCrime
4144100,1/6/2017,15:52:00,PropertyCrime
1017900,8/10/2017,8:00:00,PropertyCrime
4035800,1/30/2017,10:00:00,PropertyCrime
2033500,12/12/2017,0:01:00,PropertyCrime
1006600,12/31/2017,5:00:00,PropertyCrime
3024000,12/12/2017,13:00:00,PropertyCrime
4010500,8/1/2017,12:00:00,PropertyCrime
1000600,12/26/2017,16:14:00,PropertyCrime
3022700,11/9/2017,9:38:00,PropertyCrime
3055500,11/3/2017,18:00:00,PropertyCrime
3032500,12/28/2017,12:00:00,PropertyCrime
3030300,5/3/2017,14:00:00,PropertyCrime
2043500,4/10/2017,15:00:00,PropertyCrime
3070201,12/11/2017,12:00:00,PropertyCrime
2004200,12/31/2017,23:30:00,PropertyCrime
2023702,11/12/2017,11:30:00,PropertyCrime
2046201,12/23/2017,0:01:00,PropertyCrime
1014500,12/13/2017,20:00:00,PropertyCrime
2005400,12/20/2017,8:00:00,PropertyCrime
1011100,11/9/2017,8:00:00,PropertyCrime
4049700,12/28/2017,0:01:00,PropertyCrime
2036501,11/21/2017,15:00:00,PropertyCrime
2004001,11/24/2017,19:40:00,PropertyCrime
3093000,12/9/2017,0:01:00,PropertyCrime
1009300,9/5/2017,12:00:00,PropertyCrime
3086000,12/30/2017,0:01:00,PropertyCrime
3053400,12/7/2017,18:11:00,PropertyCrime
2027700,12/13/2017,21:00:00,PropertyCrime
2008500,10/13/2017,12:00:00,PropertyCrime
1012200,12/18/2017,16:08:00,PropertyCrime
3038600,10/23/2017,23:45:00,PropertyCrime
4068700,12/24/2017,7:00:00,PropertyCrime
2014500,12/24/2017,12:00:00,PropertyCrime
1017100,12/17/2017,18:00:00,PropertyCrime
1016300,7/4/2017,0:00:00,PropertyCrime
3021900,4/1/2017,0:01:00,PropertyCrime
2024100,12/22/2017,15:43:00,PropertyCrime
1012100,11/1/2017,8:00:00,PropertyCrime
3027100,9/11/2017,0:01:00,PropertyCrime
2028700,11/27/2017,14:30:00,PropertyCrime
4013000,4/19/2017,19:00:00,PropertyCrime
3024900,11/8/2017,19:46:00,PropertyCrime
2026400,12/17/2017,12:00:00,PropertyCrime
2042600,11/8/2017,16:43:00,PropertyCrime
3120000,11/29/2017,12:00:00,PropertyCrime
3042500,11/19/2017,8:00:00,PropertyCrime
3026100,8/21/2017,0:01:00,PropertyCrime
2028300,11/8/2017,14:26:00,PropertyCrime
5017010,5/21/2017,12:00:00,PropertyCrime
2040304,12/1/2017,12:00:00,PropertyCrime
1019000,3/3/2017,22:30:00,PropertyCrime
4084900,7/17/2017,0:00:00,PropertyCrime
3032900,8/1/2017,14:00:00,PropertyCrime
1001300,12/31/2017,14:00:00,PropertyCrime
5029102,3/10/2017,16:45:00,PropertyCrime
2042500,12/10/2017,13:00:00,PropertyCrime
4000100,11/23/2017,7:45:00,PropertyCrime
4071304,3/1/2017,7:00:00,PropertyCrime
1005502,12/30/2017,16:00:00,PropertyCrime
2039700,12/1/2017,9:00:00,PropertyCrime
1014500,10/23/2017,0:00:00,PropertyCrime
4035100,11/28/2017,9:30:00,PropertyCrime
4070900,12/4/2017,12:00:00,PropertyCrime
3122000,7/1/2017,7:00:00,PropertyCrime
3097400,11/19/2017,13:00:00,PropertyCrime
1023000,11/2/2017,15:00:00,PropertyCrime
3050600,8/5/2017,9:01:00,PropertyCrime
1004800,11/26/2017,16:00:00,PropertyCrime
4067900,12/22/2017,12:00:00,PropertyCrime
3057600,12/22/2017,9:00:00,PropertyCrime
4055200,11/11/2017,9:00:00,PropertyCrime
4027100,8/25/2017,12:00:00,PropertyCrime
1022302,12/30/2017,13:00:00,PropertyCrime
1011100,12/6/2017,0:01:00,PropertyCrime
2043500,5/26/2017,0:00:00,PropertyCrime
3034200,10/14/2017,9:00:00,PropertyCrime
3098600,3/15/2017,15:14:00,PropertyCrime
1011100,5/1/2017,9:00:00,PropertyCrime
1009200,6/29/2017,9:00:00,PropertyCrime
4020200,9/12/2017,8:00:00,PropertyCrime
5015602,9/11/2017,0:01:00,PropertyCrime
