OBJECTID,stop_frisk1_XYTableToPoint_S_2,stop_frisk1_XYTableToPoint_S_3,geo_export_267875c8_5ee9_4cb_13
10672,2017-03-08,3:00:00,4006900
10673,2017-03-09,23:44:00,4012301
10674,2017-03-09,23:51:00,4011900
10675,2017-03-09,23:50:00,4012301
10676,2017-03-09,23:51:00,4011900
10677,2017-03-10,10:10:00,4005100
10678,2017-03-12,5:44:00,4011700
10679,2017-03-12,5:44:00,4011700
10680,2017-03-16,18:35:00,4007300
10681,2017-03-15,17:00:00,4002500
10682,2017-03-15,17:00:00,4002500
10683,2017-03-17,14:30:00,4015100
10684,2017-03-21,19:05:00,4007100
10685,2017-03-22,21:05:00,4008700
10686,2017-03-22,21:10:00,4008700
10687,2017-03-23,14:00:00,4010300
10688,2017-03-23,14:00:00,4010300
10689,2017-03-23,14:03:00,4010300
10690,2017-03-23,14:03:00,4011700
10691,2017-03-23,14:03:00,4011700
10692,2017-03-23,22:00:00,4002500
10693,2017-03-23,22:00:00,4002500
10694,2017-03-18,18:30:00,4004300
10695,2017-03-18,18:30:00,4004300
10696,2017-03-27,9:58:00,4005700
10697,2017-03-25,0:00:00,4008300
10698,2017-03-18,15:25:00,4010300
10699,2017-03-28,7:01:00,4016300
10700,2017-03-29,21:15:00,4004300
10701,2017-03-30,13:00:00,4004500
10702,2017-04-01,19:50:00,4002500
10703,2017-04-02,2:00:00,4006100
10704,2017-04-03,19:07:00,4008300
10705,2017-02-09,0:45:00,4002500
10706,2017-04-05,17:27:00,4002500
10707,2017-04-06,20:12:00,4002500
10708,2017-04-10,19:25:00,4014300
10709,2017-04-10,19:25:00,4014300
10710,2017-04-10,19:25:00,4014300
10711,2017-04-05,0:05:00,4004700
10712,2017-04-05,0:05:00,4004700
10713,2017-04-12,14:02:00,4011700
10714,2017-04-13,0:40:00,4002500
10715,2017-04-13,17:58:00,4006501
10716,2017-04-12,15:45:00,4016300
10717,2017-04-11,15:30:00,4008700
