boro_ct2010,Date,Time,Type
2003500,6/22/2017,12:00:00,PersonalCrime
4028400,6/22/2017,12:00:00,PersonalCrime
3005602,6/22/2017,3:20:00,PersonalCrime
4065600,6/22/2017,18:00:00,PersonalCrime
4099200,6/22/2017,19:00:00,PersonalCrime
2006300,6/22/2017,20:40:00,PersonalCrime
2017500,6/22/2017,12:10:00,PersonalCrime
3042700,6/22/2017,1:40:00,PersonalCrime
3097400,6/22/2017,10:55:00,PersonalCrime
3095800,6/22/2017,7:00:00,PersonalCrime
4099200,6/22/2017,14:10:00,PersonalCrime
3017700,6/22/2017,21:05:00,PersonalCrime
3058800,6/22/2017,22:30:00,PersonalCrime
3049100,6/22/2017,11:00:00,PersonalCrime
2023200,6/22/2017,11:30:00,PersonalCrime
4094202,6/22/2017,21:40:00,PersonalCrime
4044000,6/22/2017,23:00:00,PersonalCrime
3001300,6/22/2017,10:45:00,PersonalCrime
1013400,6/22/2017,11:00:00,PersonalCrime
4047900,6/22/2017,13:00:00,PersonalCrime
3105804,6/22/2017,11:00:00,PersonalCrime
2006500,6/22/2017,5:00:00,PersonalCrime
1023000,6/23/2017,22:20:00,PersonalCrime
2000100,6/23/2017,10:48:00,PersonalCrime
1011500,6/23/2017,2:05:00,PersonalCrime
3116400,6/23/2017,7:00:00,PersonalCrime
3029700,6/23/2017,12:45:00,PersonalCrime
1012100,6/23/2017,11:15:00,PersonalCrime
4040400,6/23/2017,19:00:00,PersonalCrime
2004300,6/23/2017,4:30:00,PersonalCrime
3112800,6/23/2017,14:00:00,PersonalCrime
4088901,6/23/2017,5:45:00,PersonalCrime
3001100,6/23/2017,14:40:00,PersonalCrime
1026100,6/23/2017,7:40:00,PersonalCrime
3015300,6/23/2017,21:00:00,PersonalCrime
2007500,6/23/2017,0:15:00,PersonalCrime
3033100,6/23/2017,9:30:00,PersonalCrime
3041100,6/23/2017,6:10:00,PersonalCrime
4006501,6/23/2017,0:05:00,PersonalCrime
3111600,6/23/2017,4:40:00,PersonalCrime
5027702,6/23/2017,19:40:00,PersonalCrime
3079602,6/23/2017,15:00:00,PersonalCrime
3050100,6/23/2017,16:30:00,PersonalCrime
3090200,6/23/2017,16:59:00,PersonalCrime
4079200,6/23/2017,15:00:00,PersonalCrime
3116000,6/23/2017,6:50:00,PersonalCrime
3035900,6/23/2017,1:45:00,PersonalCrime
4006502,6/23/2017,3:10:00,PersonalCrime
2007200,6/23/2017,22:30:00,PersonalCrime
3086600,6/23/2017,0:30:00,PersonalCrime
3079602,6/23/2017,15:02:00,PersonalCrime
4011200,6/23/2017,4:11:00,PersonalCrime
