Taxi_Zone,Time_Period,total
149,latenight,5011
149,midday,1899
149,morning,1827
150,evening,2022
150,latenight,1953
150,midday,1103
150,morning,651
151,evening,381238
151,latenight,189684
151,midday,247793
151,morning,82649
152,evening,57461
152,latenight,61075
152,midday,40408
152,morning,37917
153,evening,1412
153,latenight,2059
153,midday,619
153,morning,874
154,evening,317
154,latenight,244
154,midday,249
154,morning,157
155,evening,3891
155,latenight,4412
155,midday,2445
155,morning,1928
156,evening,268
156,latenight,547
156,midday,254
156,morning,215
157,evening,10910
157,latenight,16606
157,midday,5430
157,morning,6814
158,evening,495744
158,latenight,280174
158,midday,363071
158,morning,117049
159,evening,7333
159,latenight,13194
159,midday,5117
159,morning,8749
160,evening,10741
160,latenight,14132
160,midday,5058
160,morning,4148
161,evening,1038117
161,latenight,328769
161,midday,1531312
161,morning,1299632
162,evening,926430
162,latenight,408453
162,midday,1156397
162,morning,958952
163,evening,812398
163,latenight,363667
163,midday,981648
163,morning,580189
164,evening,806037
164,latenight,435935
164,midday,800374
164,morning,389565
165,evening,6382
165,latenight,8019
165,midday,3659
165,morning,3176
166,evening,270542
166,latenight,139932
166,midday,266909
166,morning,171990
167,evening,4148
167,latenight,7218
167,midday,2461
167,morning,3767
168,evening,21325
168,latenight,32123
168,midday,14322
168,morning,19372
169,evening,4938
169,latenight,8739
169,midday,2831
169,morning,4135
170,evening,1210808
170,latenight,662097
170,midday,1115680
170,morning,630322
171,evening,5202
171,latenight,5235
171,midday,3187
171,morning,2023
172,evening,445
172,latenight,608
172,midday,153
172,morning,139
173,evening,5505
173,latenight,16013
173,midday,4009
173,morning,7832
174,evening,2927
174,latenight,4952
174,midday,2272
174,morning,3439
175,evening,3300
175,latenight,2880
175,midday,1618
175,morning,1091
176,evening,245
176,latenight,334
176,midday,97
176,morning,111
177,evening,5107
177,latenight,11226
177,midday,2950
177,morning,4469
178,evening,2901
178,latenight,3081
178,midday,1599
178,morning,1269
179,evening,45177
179,latenight,75329
179,midday,21281
179,morning,24465
180,evening,2451
180,latenight,3270
180,midday,1622
180,morning,1361
181,evening,142701
181,latenight,171490
181,midday,52483
181,morning,31171
182,evening,3911
182,latenight,6056
182,midday,1829
182,morning,1686
183,evening,1579
183,latenight,2249
183,midday,733
183,morning,638
184,evening,188
184,latenight,229
184,midday,207
184,morning,186
185,evening,3257
185,latenight,5321
185,midday,1883
185,morning,2261
186,evening,1055878
186,latenight,512450
186,midday,986025
186,morning,535743
187,evening,139
187,latenight,291
187,midday,82
187,morning,84
188,evening,20276
188,latenight,43631
188,midday,9819
188,morning,10981
189,evening,39492
189,latenight,61032
189,midday,14034
189,morning,8855
190,evening,5184
190,latenight,8319
190,midday,5044
190,morning,2189
191,evening,3841
191,latenight,3700
191,midday,2448
191,morning,1596
192,evening,2798
192,latenight,2668
192,midday,2049
192,morning,1718
193,evening,17179
193,latenight,17459
193,midday,22119
193,morning,21559
194,evening,4325
194,latenight,706
194,midday,7100
194,morning,3631
195,evening,14012
195,latenight,13075
195,midday,14381
195,morning,6512
196,evening,12800
196,latenight,17633
196,midday,6791
196,morning,5310
197,evening,7230
197,latenight,9185
197,midday,4968
197,morning,4086
198,evening,14796
198,latenight,35885
198,midday,7056
198,morning,11199
199,evening,16
199,latenight,6
199,midday,4
199,morning,1
200,evening,12033
200,latenight,11194
200,midday,6562
200,morning,4527
201,evening,1305
201,latenight,1817
201,midday,707
201,morning,549
202,evening,19259
202,latenight,18887
202,midday,8021
202,morning,5130
203,evening,3449
203,latenight,3017
203,midday,2353
203,morning,1284
204,evening,179
204,latenight,322
204,midday,70
204,morning,81
205,evening,4154
205,latenight,4352
205,midday,3244
205,morning,1975
206,evening,537
206,latenight,927
206,midday,304
206,morning,295
207,evening,250
207,latenight,144
207,midday,2301
207,morning,3870
208,evening,4159
208,latenight,5563
208,midday,2401
208,morning,2297
209,evening,99696
209,latenight,73612
209,midday,82105
209,morning,46067
210,evening,3827
210,latenight,4467
210,midday,2206
210,morning,1577
211,evening,339356
211,latenight,162191
211,midday,375132
211,morning,100668
212,evening,2808
212,latenight,7236
212,midday,1487
212,morning,2747
213,evening,4497
213,latenight,6016
213,midday,2645
213,morning,2821
214,evening,725
214,latenight,809
214,midday,276
214,morning,299
215,evening,3358
215,latenight,3500
215,midday,2534
215,morning,1764
216,evening,15190
216,latenight,13625
216,midday,9695
216,morning,5954
217,evening,12466
217,latenight,11350
217,midday,11133
217,morning,3798
218,evening,4969
218,latenight,4938
218,midday,3066
218,morning,1557
219,evening,8492
219,latenight,7070
219,midday,4616
219,morning,2343
220,evening,14337
220,latenight,16061
220,midday,6765
220,morning,4402
221,evening,727
221,latenight,972
221,midday,480
221,morning,333
222,evening,1072
222,latenight,1032
222,midday,796
222,morning,559
223,evening,61027
223,latenight,106312
223,midday,33498
223,morning,38161
224,evening,210424
224,latenight,149200
224,midday,91487
224,morning,33863
225,evening,29508
225,latenight,68219
225,midday,10998
225,morning,18694
226,evening,71719
226,latenight,118312
226,midday,49328
226,morning,58626
227,evening,6496
227,latenight,13405
227,midday,2933
227,morning,4138
228,evening,17306
228,latenight,35497
228,midday,10855
228,morning,11441
229,evening,782526
229,latenight,397388
229,midday,560638
229,morning,247544
230,evening,1182765
230,latenight,517763
230,midday,1080862
230,morning,740820
231,evening,604730
231,latenight,354314
231,midday,597542
231,morning,394345
232,evening,210326
232,latenight,154409
232,midday,118954
232,morning,56854
233,evening,542244
233,latenight,326723
233,midday,467858
233,morning,310060
234,evening,1028270
234,latenight,413562
234,midday,1131547
234,morning,598308
235,evening,5199
235,latenight,8702
235,midday,3035
235,morning,3682
236,evening,1495193
236,latenight,429296
236,midday,1583575
236,morning,642858
237,evening,1333497
237,latenight,328946
237,midday,1623754
237,morning,622009
238,evening,913486
238,latenight,380149
238,midday,668092
238,morning,276257
239,evening,1115677
239,latenight,408098
239,midday,907969
239,morning,294373
240,evening,719
240,latenight,1135
240,midday,730
240,morning,933
241,evening,4539
241,latenight,8324
241,midday,2387
241,morning,3064
242,evening,3071
242,latenight,3454
242,midday,2301
242,morning,2429
243,evening,68375
243,latenight,90764
243,midday,30975
243,morning,20649
244,evening,100524
244,latenight,141374
244,midday,76648
244,morning,90207
245,evening,315
245,latenight,561
245,midday,176
245,morning,142
246,evening,631956
246,latenight,297798
246,midday,667099
246,morning,452743
247,evening,13786
247,latenight,13321
247,midday,13278
247,morning,10404
248,evening,2590
248,latenight,6189
248,midday,1340
248,morning,2290
249,evening,797742
249,latenight,483920
249,midday,465418
249,morning,161742
250,evening,2541
250,latenight,3726
250,midday,1485
250,morning,1638
251,evening,489
251,latenight,867
251,midday,225
251,morning,190
252,evening,5564
252,latenight,4666
252,midday,3311
252,morning,1908
253,evening,290
253,latenight,139
253,midday,240
253,morning,119
254,evening,2637
254,latenight,3714
254,midday,1690
254,morning,1937
255,evening,122356
255,latenight,148125
255,midday,54349
255,morning,24819
256,evening,100016
256,latenight,147968
256,midday,43289
256,morning,25417
257,evening,20063
257,latenight,28239
257,midday,6088
257,morning,4668
258,evening,5092
258,latenight,8630
258,midday,3078
258,morning,3310
259,evening,2793
259,latenight,6014
259,midday,1545
259,morning,2173
260,evening,30630
260,latenight,58539
260,midday,21265
260,morning,28997
261,evening,163151
261,latenight,131607
261,midday,204672
261,morning,88932
262,evening,591445
262,latenight,271411
262,midday,387023
262,morning,139729
263,evening,825352
263,latenight,441709
263,midday,534993
263,morning,215031
264,evening,544326
264,latenight,314094
264,midday,454511
264,morning,230916
265,evening,81765
265,latenight,95917
265,midday,60613
265,morning,38370
