Census_Tracts,Time_Period,total
1013300,midday,31
1013300,morning,20
1013400,evening,2
1013400,latenight,1
1013400,midday,2
1013400,morning,1
1013500,evening,5
1013500,latenight,7
1013500,midday,6
1013500,morning,7
1013600,evening,0
1013600,latenight,2
1013600,midday,0
1013600,morning,1
1013700,evening,2
1013700,latenight,5
1013700,midday,6
1013700,morning,2
1013800,evening,1
1013800,latenight,2
1013800,midday,2
1013800,morning,3
1013900,evening,5
1013900,latenight,2
1013900,midday,7
1013900,morning,6
1014000,evening,0
1014000,latenight,2
1014000,midday,0
1014000,morning,0
1014200,evening,0
1014200,latenight,1
1014200,midday,1
1014200,morning,3
1014300,evening,11
1014300,latenight,5
1014300,midday,11
1014300,morning,8
1014401,evening,2
1014401,latenight,0
1014401,midday,1
1014401,morning,0
1014402,evening,1
1014402,latenight,0
1014402,midday,0
1014402,morning,0
1014500,evening,2
1014500,latenight,1
1014500,midday,2
1014500,morning,4
1014601,evening,1
1014601,latenight,1
1014601,midday,0
1014601,morning,2
1014602,evening,6
1014602,latenight,1
1014602,midday,1
1014602,morning,0
1014700,evening,1
1014700,latenight,2
1014700,midday,3
1014700,morning,1
1014801,evening,2
1014801,latenight,0
1014801,midday,2
1014801,morning,0
1014802,evening,2
1014802,latenight,6
1014802,midday,7
1014802,morning,3
1014900,evening,2
1014900,latenight,1
1014900,midday,0
1014900,morning,2
1015001,evening,0
1015001,latenight,0
1015001,midday,0
1015001,morning,1
1015100,evening,9
1015100,latenight,9
1015100,midday,9
1015100,morning,5
1015200,evening,4
1015200,latenight,5
1015200,midday,5
1015200,morning,3
1015300,evening,3
1015300,latenight,3
1015300,midday,2
1015300,morning,3
1015400,evening,6
1015400,latenight,6
1015400,midday,4
1015400,morning,5
1015500,evening,2
1015500,latenight,0
1015500,midday,1
1015500,morning,0
1015601,evening,5
1015601,latenight,2
1015601,midday,3
1015601,morning,3
1015602,evening,5
1015602,latenight,6
1015602,midday,4
1015602,morning,1
1015700,evening,2
1015700,latenight,1
1015700,midday,2
1015700,morning,1
1015801,evening,4
1015801,latenight,3
1015801,midday,1
1015801,morning,1
1015802,evening,2
1015802,latenight,1
1015802,midday,1
1015802,morning,4
1015900,evening,4
1015900,latenight,3
1015900,midday,3
1015900,morning,1
1016002,evening,1
1016002,latenight,1
1016002,midday,1
1016002,morning,0
1016100,evening,2
1016100,latenight,1
1016100,midday,0
1016100,morning,0
1016200,evening,12
1016200,latenight,10
1016200,midday,7
1016200,morning,11
1016300,evening,1
1016300,latenight,1
1016300,midday,3
1016300,morning,1
1016400,evening,22
1016400,latenight,9
1016400,midday,15
1016400,morning,9
1016500,evening,11
1016500,latenight,6
1016500,midday,7
1016500,morning,4
1016600,evening,26
1016600,latenight,28
1016600,midday,18
1016600,morning,14
1016700,evening,3
1016700,latenight,0
1016700,midday,1
1016700,morning,1
1016800,evening,17
1016800,latenight,3
1016800,midday,7
1016800,morning,5
1016900,evening,3
1016900,latenight,3
1016900,midday,2
1016900,morning,1
1017000,evening,23
1017000,latenight,22
1017000,midday,12
1017000,morning,10
1017100,evening,1
1017100,latenight,5
1017100,midday,1
1017100,morning,3
1017200,evening,23
1017200,latenight,26
1017200,midday,17
1017200,morning,10
1017300,evening,6
1017300,latenight,4
1017300,midday,3
1017300,morning,0
1017401,evening,11
1017401,latenight,17
1017401,midday,7
1017401,morning,9
1017402,evening,8
1017402,latenight,2
1017402,midday,2
1017402,morning,1
1017500,evening,0
1017500,latenight,6
1017500,midday,1
1017500,morning,0
1017700,evening,2
1017700,latenight,3
1017700,midday,6
1017700,morning,3
1017800,evening,4
1017800,latenight,7
1017800,midday,5
1017800,morning,5
1017900,evening,2
1017900,latenight,5
1017900,midday,4
1017900,morning,6
1018000,evening,19
1018000,latenight,22
1018000,midday,6
1018000,morning,5
1018100,evening,2
1018100,latenight,1
1018100,midday,1
1018100,morning,1
1018200,evening,54
1018200,latenight,58
1018200,midday,35
1018200,morning,20
1018300,evening,9
1018300,latenight,10
1018300,midday,11
1018300,morning,6
1018400,evening,17
1018400,latenight,12
1018400,midday,8
1018400,morning,3
1018500,evening,0
1018500,latenight,2
1018500,midday,1
1018500,morning,1
1018600,evening,23
1018600,latenight,20
1018600,midday,17
1018600,morning,10
1018700,evening,8
1018700,latenight,5
1018700,midday,0
1018700,morning,0
1018800,evening,32
1018800,latenight,23
1018800,midday,8
1018800,morning,4
1018900,evening,29
1018900,latenight,18
1018900,midday,23
1018900,morning,12
1019000,evening,12
1019000,latenight,5
1019000,midday,5
1019000,morning,7
1019100,evening,10
1019100,latenight,8
1019100,midday,5
1019100,morning,1
1019200,evening,16
1019200,latenight,10
1019200,midday,9
1019200,morning,7
1019300,evening,7
1019300,latenight,5
1019300,midday,3
1019300,morning,4
1019400,evening,30
1019400,latenight,30
1019400,midday,15
1019400,morning,6
1019500,evening,6
1019500,latenight,9
1019500,midday,0
1019500,morning,2
1019600,evening,54
1019600,latenight,20
1019600,midday,38
1019600,morning,17
1019701,evening,1
1019701,latenight,3
1019701,midday,1
1019701,morning,1
1019702,evening,2
1019702,latenight,3
1019702,midday,2
1019702,morning,3
1019800,evening,11
1019800,latenight,21
1019800,midday,19
1019800,morning,1
1019900,evening,3
1019900,latenight,2
1019900,midday,1
1019900,morning,1
1020000,evening,11
1020000,latenight,6
1020000,midday,8
1020000,morning,2
1020102,evening,8
1020102,latenight,13
1020102,midday,2
1020102,morning,3
1020300,evening,1
1020300,latenight,2
1020300,midday,0
1020300,morning,3
1020500,evening,1
1020500,latenight,1
1020500,midday,1
1020500,morning,3
1020600,evening,7
1020600,latenight,9
1020600,midday,12
1020600,morning,5
1020800,evening,9
1020800,latenight,10
1020800,midday,13
1020800,morning,11
1020901,evening,14
1020901,latenight,9
1020901,midday,3
1020901,morning,2
1021000,evening,21
1021000,latenight,26
1021000,midday,14
1021000,morning,10
1021100,evening,10
1021100,latenight,14
1021100,midday,9
1021100,morning,4
1021200,evening,21
1021200,latenight,17
1021200,midday,4
1021200,morning,8
1021303,evening,8
1021303,latenight,3
1021303,midday,2
1021303,morning,3
1021400,evening,12
1021400,latenight,10
1021400,midday,5
1021400,morning,1
1021500,evening,7
1021500,latenight,9
1021500,midday,4
1021500,morning,4
1021600,evening,21
1021600,latenight,21
1021600,midday,11
1021600,morning,10
1021703,evening,10
1021703,latenight,2
1021703,midday,9
1021703,morning,0
1021800,evening,14
1021800,latenight,15
1021800,midday,12
1021800,morning,7
1021900,evening,29
1021900,latenight,30
1021900,midday,13
1021900,morning,10
1022000,evening,9
