Census_Tracts,Time_Period,total
1017300,midday,28
1017300,morning,16
1017401,evening,12
1017401,latenight,6
1017401,midday,12
1017401,morning,8
1017402,evening,8
1017402,latenight,3
1017402,midday,5
1017402,morning,2
1017500,evening,27
1017500,latenight,17
1017500,midday,38
1017500,morning,17
1017700,evening,16
1017700,latenight,17
1017700,midday,26
1017700,morning,13
1017800,evening,23
1017800,latenight,6
1017800,midday,22
1017800,morning,6
1017900,evening,25
1017900,latenight,16
1017900,midday,21
1017900,morning,11
1018000,evening,22
1018000,latenight,27
1018000,midday,19
1018000,morning,11
1018100,evening,13
1018100,latenight,12
1018100,midday,40
1018100,morning,10
1018200,evening,50
1018200,latenight,36
1018200,midday,64
1018200,morning,35
1018300,evening,52
1018300,latenight,48
1018300,midday,55
1018300,morning,23
1018400,evening,11
1018400,latenight,14
1018400,midday,24
1018400,morning,6
1018500,evening,35
1018500,latenight,8
1018500,midday,21
1018500,morning,4
1018600,evening,20
1018600,latenight,13
1018600,midday,22
1018600,morning,18
1018700,evening,22
1018700,latenight,28
1018700,midday,40
1018700,morning,15
1018800,evening,26
1018800,latenight,17
1018800,midday,25
1018800,morning,20
1018900,evening,52
1018900,latenight,34
1018900,midday,57
1018900,morning,21
1019000,evening,25
1019000,latenight,15
1019000,midday,22
1019000,morning,10
1019100,evening,37
1019100,latenight,27
1019100,midday,38
1019100,morning,23
1019200,evening,11
1019200,latenight,5
1019200,midday,10
1019200,morning,5
1019300,evening,31
1019300,latenight,18
1019300,midday,10
1019300,morning,15
1019400,evening,15
1019400,latenight,15
1019400,midday,24
1019400,morning,7
1019500,evening,30
1019500,latenight,29
1019500,midday,36
1019500,morning,18
1019600,evening,66
1019600,latenight,37
1019600,midday,94
1019600,morning,53
1019701,evening,17
1019701,latenight,10
1019701,midday,11
1019701,morning,5
1019702,evening,11
1019702,latenight,15
1019702,midday,10
1019702,morning,5
1019800,evening,33
1019800,latenight,12
1019800,midday,25
1019800,morning,8
1019900,evening,24
1019900,latenight,18
1019900,midday,28
1019900,morning,12
1020000,evening,26
1020000,latenight,13
1020000,midday,20
1020000,morning,11
1020101,evening,4
1020101,latenight,3
1020101,midday,5
1020101,morning,1
1020102,evening,37
1020102,latenight,37
1020102,midday,33
1020102,morning,12
1020300,evening,18
1020300,latenight,9
1020300,midday,28
1020300,morning,4
1020500,evening,9
1020500,latenight,3
1020500,midday,18
1020500,morning,7
1020600,evening,24
1020600,latenight,13
1020600,midday,17
1020600,morning,17
1020701,evening,2
1020701,latenight,2
1020701,midday,2
1020701,morning,2
1020800,evening,19
1020800,latenight,12
1020800,midday,21
1020800,morning,10
1020901,evening,32
1020901,latenight,25
1020901,midday,35
1020901,morning,15
1021000,evening,21
1021000,latenight,13
1021000,midday,17
1021000,morning,13
1021100,evening,44
1021100,latenight,25
1021100,midday,38
1021100,morning,18
1021200,evening,15
1021200,latenight,21
1021200,midday,26
1021200,morning,10
1021303,evening,14
1021303,latenight,10
1021303,midday,18
1021303,morning,14
1021400,evening,15
1021400,latenight,8
1021400,midday,16
1021400,morning,5
1021500,evening,13
1021500,latenight,12
1021500,midday,11
1021500,morning,3
1021600,evening,31
1021600,latenight,22
1021600,midday,23
1021600,morning,16
1021703,evening,14
1021703,latenight,12
1021703,midday,10
1021703,morning,9
1021800,evening,48
1021800,latenight,21
1021800,midday,51
1021800,morning,18
1021900,evening,44
1021900,latenight,22
1021900,midday,40
1021900,morning,15
1022000,evening,21
1022000,latenight,16
1022000,midday,16
1022000,morning,8
1022102,evening,11
1022102,latenight,7
1022102,midday,8
1022102,morning,4
1022200,evening,129
1022200,latenight,48
1022200,midday,104
1022200,morning,31
1022301,evening,26
1022301,latenight,21
1022301,midday,21
1022301,morning,13
1022302,evening,4
1022302,latenight,4
1022302,midday,9
1022302,morning,3
1022400,evening,24
1022400,latenight,17
1022400,midday,25
1022400,morning,10
1022500,evening,33
1022500,latenight,16
1022500,midday,25
1022500,morning,20
1022600,evening,13
1022600,latenight,18
1022600,midday,17
1022600,morning,10
1022700,evening,16
1022700,latenight,14
1022700,midday,12
1022700,morning,12
1022800,evening,54
1022800,latenight,29
1022800,midday,33
1022800,morning,20
1022900,evening,32
1022900,latenight,22
1022900,midday,30
1022900,morning,26
1023000,evening,27
1023000,latenight,15
1023000,midday,23
1023000,morning,12
1023100,evening,33
1023100,latenight,20
1023100,midday,39
1023100,morning,21
1023200,evening,18
1023200,latenight,22
1023200,midday,23
1023200,morning,13
1023300,evening,23
1023300,latenight,20
1023300,midday,29
1023300,morning,18
1023400,evening,10
1023400,latenight,12
1023400,midday,8
1023400,morning,10
1023501,evening,15
1023501,latenight,12
1023501,midday,17
1023501,morning,10
1023502,evening,15
1023502,latenight,8
1023502,midday,4
1023502,morning,6
1023600,evening,19
1023600,latenight,9
1023600,midday,22
1023600,morning,9
1023700,evening,23
1023700,latenight,24
1023700,midday,34
1023700,morning,16
1023801,evening,3
1023801,latenight,1
1023801,midday,5
1023801,morning,1
1023802,evening,3
1023802,latenight,4
1023802,midday,0
1023802,morning,1
1023900,evening,7
1023900,latenight,6
1023900,midday,5
1023900,morning,2
1024000,evening,54
1024000,latenight,25
1024000,midday,14
1024000,morning,3
1024100,evening,26
1024100,latenight,8
1024100,midday,31
1024100,morning,6
1024200,evening,16
1024200,latenight,12
1024200,midday,24
1024200,morning,20
1024301,evening,16
1024301,latenight,10
1024301,midday,9
1024301,morning,8
1024302,evening,16
1024302,latenight,12
1024302,midday,18
1024302,morning,10
1024500,evening,26
1024500,latenight,27
1024500,midday,35
1024500,morning,22
1024700,evening,22
1024700,latenight,12
1024700,midday,15
1024700,morning,6
1024900,evening,11
1024900,latenight,7
1024900,midday,8
1024900,morning,1
1025100,evening,31
1025100,latenight,26
1025100,midday,16
1025100,morning,14
1025300,evening,17
1025300,latenight,18
1025300,midday,25
1025300,morning,16
1025500,evening,15
1025500,latenight,11
1025500,midday,12
1025500,morning,14
1025700,evening,41
1025700,latenight,24
1025700,midday,46
1025700,morning,7
1025900,evening,16
1025900,latenight,13
1025900,midday,27
1025900,morning,10
1026100,evening,29
1026100,latenight,14
1026100,midday,22
1026100,morning,10
1026300,evening,16
1026300,latenight,18
1026300,midday,25
1026300,morning,14
1026500,evening,17
1026500,latenight,12
