Census_Tracts,Time_Period,total
1015601,latenight,16
1015601,midday,20
1015601,morning,9
1015602,evening,20
1015602,latenight,14
1015602,midday,17
1015602,morning,8
1015700,evening,29
1015700,latenight,13
1015700,midday,57
1015700,morning,20
1015801,evening,24
1015801,latenight,12
1015801,midday,32
1015801,morning,12
1015802,evening,15
1015802,latenight,9
1015802,midday,25
1015802,morning,8
1015900,evening,49
1015900,latenight,18
1015900,midday,40
1015900,morning,20
1016001,evening,9
1016001,latenight,4
1016001,midday,13
1016001,morning,4
1016002,evening,8
1016002,latenight,5
1016002,midday,6
1016002,morning,3
1016100,evening,16
1016100,latenight,8
1016100,midday,35
1016100,morning,12
1016200,evening,14
1016200,latenight,19
1016200,midday,24
1016200,morning,18
1016300,evening,31
1016300,latenight,14
1016300,midday,36
1016300,morning,16
1016400,evening,42
1016400,latenight,23
1016400,midday,37
1016400,morning,18
1016500,evening,25
1016500,latenight,13
1016500,midday,38
1016500,morning,18
1016600,evening,58
1016600,latenight,46
1016600,midday,47
1016600,morning,31
1016700,evening,40
1016700,latenight,13
1016700,midday,33
1016700,morning,9
1016800,evening,25
1016800,latenight,10
1016800,midday,36
1016800,morning,18
1016900,evening,22
1016900,latenight,13
1016900,midday,27
1016900,morning,16
1017000,evening,39
1017000,latenight,36
1017000,midday,32
1017000,morning,23
1017100,evening,25
1017100,latenight,13
1017100,midday,28
1017100,morning,7
1017200,evening,89
1017200,latenight,68
1017200,midday,101
1017200,morning,39
1017300,evening,19
1017300,latenight,16
1017300,midday,31
1017300,morning,16
1017401,evening,23
1017401,latenight,23
1017401,midday,19
1017401,morning,17
1017402,evening,16
1017402,latenight,5
1017402,midday,7
1017402,morning,3
1017500,evening,27
1017500,latenight,23
1017500,midday,39
1017500,morning,17
1017700,evening,18
1017700,latenight,20
1017700,midday,32
1017700,morning,16
1017800,evening,27
1017800,latenight,13
1017800,midday,27
1017800,morning,11
1017900,evening,27
1017900,latenight,21
1017900,midday,25
1017900,morning,17
1018000,evening,41
1018000,latenight,49
1018000,midday,25
1018000,morning,16
1018100,evening,15
1018100,latenight,13
1018100,midday,41
1018100,morning,11
1018200,evening,104
1018200,latenight,94
1018200,midday,99
1018200,morning,55
1018300,evening,61
1018300,latenight,58
1018300,midday,66
1018300,morning,29
1018400,evening,28
1018400,latenight,26
1018400,midday,32
1018400,morning,9
1018500,evening,35
1018500,latenight,10
1018500,midday,22
1018500,morning,5
1018600,evening,43
1018600,latenight,33
1018600,midday,39
1018600,morning,28
1018700,evening,30
1018700,latenight,33
1018700,midday,40
1018700,morning,15
1018800,evening,58
1018800,latenight,40
1018800,midday,33
1018800,morning,24
1018900,evening,81
1018900,latenight,52
1018900,midday,80
1018900,morning,33
1019000,evening,37
1019000,latenight,20
1019000,midday,27
1019000,morning,17
1019100,evening,47
1019100,latenight,35
1019100,midday,43
1019100,morning,24
1019200,evening,27
1019200,latenight,15
1019200,midday,19
1019200,morning,12
1019300,evening,38
1019300,latenight,23
1019300,midday,13
1019300,morning,19
1019400,evening,45
1019400,latenight,45
1019400,midday,39
1019400,morning,13
1019500,evening,36
1019500,latenight,38
1019500,midday,36
1019500,morning,20
1019600,evening,120
1019600,latenight,57
1019600,midday,132
1019600,morning,70
1019701,evening,18
1019701,latenight,13
1019701,midday,12
1019701,morning,6
1019702,evening,13
1019702,latenight,18
1019702,midday,12
1019702,morning,8
1019800,evening,44
1019800,latenight,33
1019800,midday,44
1019800,morning,9
1019900,evening,27
1019900,latenight,20
1019900,midday,29
1019900,morning,13
1020000,evening,37
1020000,latenight,19
1020000,midday,28
1020000,morning,13
1020101,evening,4
1020101,latenight,3
1020101,midday,5
1020101,morning,1
1020102,evening,45
1020102,latenight,50
1020102,midday,35
1020102,morning,15
1020300,evening,19
1020300,latenight,11
1020300,midday,28
1020300,morning,7
1020500,evening,10
1020500,latenight,4
1020500,midday,19
1020500,morning,10
1020600,evening,31
1020600,latenight,22
1020600,midday,29
1020600,morning,22
1020701,evening,2
1020701,latenight,2
1020701,midday,2
1020701,morning,2
1020800,evening,28
1020800,latenight,22
1020800,midday,34
1020800,morning,21
1020901,evening,46
1020901,latenight,34
1020901,midday,38
1020901,morning,17
1021000,evening,42
1021000,latenight,39
1021000,midday,31
1021000,morning,23
1021100,evening,54
1021100,latenight,39
1021100,midday,47
1021100,morning,22
1021200,evening,36
1021200,latenight,38
1021200,midday,30
1021200,morning,18
1021303,evening,22
1021303,latenight,13
1021303,midday,20
1021303,morning,17
1021400,evening,27
1021400,latenight,18
1021400,midday,21
1021400,morning,6
1021500,evening,20
1021500,latenight,21
1021500,midday,15
1021500,morning,7
1021600,evening,52
1021600,latenight,43
1021600,midday,34
1021600,morning,26
1021703,evening,24
1021703,latenight,14
1021703,midday,19
1021703,morning,9
1021800,evening,62
1021800,latenight,36
1021800,midday,63
1021800,morning,25
1021900,evening,73
1021900,latenight,52
1021900,midday,53
1021900,morning,25
1022000,evening,30
1022000,latenight,31
1022000,midday,23
1022000,morning,9
1022102,evening,22
1022102,latenight,9
1022102,midday,16
1022102,morning,5
1022200,evening,155
1022200,latenight,61
1022200,midday,124
1022200,morning,41
1022301,evening,37
1022301,latenight,30
1022301,midday,25
1022301,morning,20
1022302,evening,9
1022302,latenight,7
1022302,midday,10
1022302,morning,4
1022400,evening,44
1022400,latenight,30
1022400,midday,43
1022400,morning,17
1022500,evening,44
1022500,latenight,24
1022500,midday,34
1022500,morning,23
1022600,evening,38
1022600,latenight,32
1022600,midday,23
1022600,morning,15
1022700,evening,20
1022700,latenight,19
1022700,midday,17
1022700,morning,15
1022800,evening,83
1022800,latenight,59
1022800,midday,52
1022800,morning,39
1022900,evening,57
1022900,latenight,39
1022900,midday,36
1022900,morning,35
1023000,evening,45
1023000,latenight,32
1023000,midday,37
1023000,morning,25
1023100,evening,52
1023100,latenight,30
1023100,midday,43
1023100,morning,24
1023200,evening,37
1023200,latenight,49
1023200,midday,39
1023200,morning,19
1023300,evening,35
1023300,latenight,34
1023300,midday,31
1023300,morning,22
1023400,evening,18
1023400,latenight,20
1023400,midday,14
1023400,morning,12
1023501,evening,28
1023501,latenight,31
1023501,midday,29
1023501,morning,18
1023502,evening,31
1023502,latenight,20
1023502,midday,10
1023502,morning,11
1023600,evening,28
1023600,latenight,24
1023600,midday,29
1023600,morning,17
1023700,evening,38
1023700,latenight,34
1023700,midday,44
1023700,morning,20
1023801,evening,6
1023801,latenight,3
1023801,midday,7
1023801,morning,1
1023802,evening,6
1023802,latenight,5
1023802,midday,1
1023802,morning,2
1023900,evening,13
1023900,latenight,8
1023900,midday,9
1023900,morning,5
1024000,evening,69
1024000,latenight,41
1024000,midday,30
1024000,morning,13
1024100,evening,39
1024100,latenight,15
1024100,midday,48
1024100,morning,10
1024200,evening,39
1024200,latenight,28
1024200,midday,40
1024200,morning,28
1024301,evening,26
1024301,latenight,14
1024301,midday,12
1024301,morning,13
1024302,evening,36
1024302,latenight,28
1024302,midday,31
1024302,morning,21
1024500,evening,52
1024500,latenight,52
1024500,midday,53
1024500,morning,34
1024700,evening,26
1024700,latenight,21
1024700,midday,18
1024700,morning,12
1024900,evening,18
1024900,latenight,19
1024900,midday,10
1024900,morning,4
1025100,evening,51
1025100,latenight,35
1025100,midday,27
1025100,morning,21
1025300,evening,30
1025300,latenight,33
1025300,midday,38
1025300,morning,26
1025500,evening,21
1025500,latenight,15
1025500,midday,16
1025500,morning,17
1025700,evening,57
1025700,latenight,44
1025700,midday,52
1025700,morning,9
1025900,evening,27
1025900,latenight,32
1025900,midday,35
1025900,morning,17
1026100,evening,50
1026100,latenight,30
1026100,midday,32
1026100,morning,14
1026300,evening,28
1026300,latenight,33
1026300,midday,29
1026300,morning,23
1026500,evening,24
1026500,latenight,19
1026500,midday,24
1026500,morning,20
1026700,evening,7
1026700,latenight,3
1026700,midday,3
1026700,morning,2
1026900,evening,43
1026900,latenight,29
1026900,midday,28
1026900,morning,19
1027100,evening,77
1027100,latenight,56
1027100,midday,64
1027100,morning,46
1027300,evening,42
1027300,latenight,16
1027300,midday,30
1027300,morning,26
1027500,evening,5
1027500,latenight,4
1027500,midday,5
1027500,morning,3
1027700,evening,28
1027700,latenight,14
1027700,midday,22
1027700,morning,15
1027900,evening,56
